click,C1,banner_pos,site_domain,site_category,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C15,C16,date,time,user_id,device_ip_count,device_id_count,user_count,user_hour_count,user_bagged
0,1002,0,225,4,12,0,358,196,709,0,0,300,50,0,0,2296,4,4,4,95,232
0,1005,0,275,1,12,0,438,3697,157,1,0,320,50,0,0,3902,720,720,720,95,232
1,1005,0,275,1,12,0,438,403,108,1,0,320,50,0,0,428,720,720,720,95,232
0,1005,1,91,12,12,0,438,1591,324,1,0,320,50,0,0,1675,89,89,89,95,232
0,1005,1,15,12,12,0,438,358,453,1,0,320,50,0,1,381,79,79,79,100,232
0,1005,1,137,12,12,0,438,1988,271,1,0,320,50,0,1,2082,266,266,266,100,232
0,1005,0,194,12,12,0,438,1931,738,1,0,300,50,0,1,2022,21,21,21,100,232
0,1005,0,114,12,12,0,438,3696,588,1,0,320,50,0,1,3900,23,23,23,100,232
0,1005,0,275,1,12,0,438,1325,497,1,2,320,50,0,1,1382,720,720,720,100,232
0,1005,1,278,6,12,0,438,3399,448,1,0,320,50,0,1,3576,1,1,1,100,232
0,1005,1,7,12,12,0,438,3671,393,1,0,320,50,0,1,3872,30,30,30,100,232
0,1005,1,217,2,12,0,438,3860,406,1,0,320,50,0,1,4074,3,3,3,100,232
0,1005,1,137,12,12,0,438,1641,8,1,0,320,50,0,1,1721,266,266,266,100,232
1,1005,0,275,1,12,0,438,1644,540,1,0,320,50,0,1,1725,720,720,720,100,232
0,1005,0,225,4,3,2,438,1996,196,1,0,320,50,0,1,2091,1499,1499,1499,100,253
0,1005,1,16,12,12,0,438,2266,453,1,0,320,50,0,1,2377,27,27,27,100,232
1,1005,0,275,1,12,0,438,571,453,1,0,320,50,0,1,596,720,720,720,100,232
0,1005,0,104,12,12,0,438,1952,453,1,0,320,50,0,1,2041,1,1,1,100,232
0,1005,0,171,12,12,0,438,3069,116,1,0,320,50,0,1,3231,35,35,35,100,232
0,1005,0,171,12,12,0,438,2652,620,1,0,320,50,0,1,2789,35,35,35,100,232
0,1005,0,225,4,8,2,505,1864,805,1,0,320,50,0,1,3127,1499,1499,1499,100,219
0,1005,0,275,1,12,0,438,2374,108,1,0,320,50,0,1,2498,720,720,720,100,232
0,1005,0,125,3,12,0,438,1953,393,1,0,300,250,0,1,2043,97,97,97,100,232
0,1005,0,225,4,31,9,448,240,475,1,2,320,50,0,2,2792,1499,1499,1499,136,239
0,1005,0,216,12,12,0,438,3829,453,1,0,320,50,0,2,4044,23,23,23,136,232
0,1005,0,242,2,12,0,438,3850,719,1,0,320,50,0,2,4065,1,1,1,136,232
0,1005,0,275,1,12,0,438,3216,128,1,0,320,50,0,2,3384,720,720,720,136,232
0,1005,0,275,1,12,0,438,1991,123,1,0,320,50,0,2,2086,720,720,720,136,232
0,1005,1,175,12,12,0,438,2786,540,1,0,320,50,0,2,2936,99,99,99,136,232
0,1005,0,9,12,12,0,438,2486,362,1,0,320,50,0,2,2616,1,1,1,136,232
1,1005,0,225,4,3,6,198,3773,766,1,0,320,50,0,2,1273,1499,1499,1499,136,208
1,1005,0,171,12,12,0,438,241,832,1,0,320,50,0,2,259,35,35,35,136,232
1,1005,0,275,1,12,0,438,371,219,1,0,320,50,0,2,394,720,720,720,136,232
0,1002,0,225,4,12,0,549,50,519,0,0,320,50,0,2,3488,1499,1499,1499,136,88
1,1005,0,275,1,12,0,438,482,426,1,0,320,50,0,2,512,720,720,720,136,232
0,1005,1,124,12,12,0,438,557,453,1,0,320,50,0,2,577,4,4,4,136,232
0,1005,0,225,4,8,2,438,1897,346,1,0,320,50,0,2,1985,1499,1499,1499,136,219
0,1005,0,225,4,3,2,306,731,85,1,2,320,50,0,2,2006,1499,1499,1499,136,49
0,1005,1,15,12,12,0,438,1380,393,1,0,320,50,0,2,1443,79,79,79,136,232
0,1005,0,275,1,12,0,438,3166,125,1,0,320,50,0,2,3333,720,720,720,136,232
0,1005,0,225,4,20,2,438,1314,6,1,2,728,90,0,2,1370,1499,1499,1499,136,254
1,1005,0,225,4,15,2,438,3130,577,1,0,320,50,0,2,3295,1499,1499,1499,136,255
1,1005,0,225,4,6,12,438,2852,466,1,2,320,50,0,2,3001,1499,1499,1499,136,14
0,1005,1,175,12,12,0,438,62,67,1,0,320,50,0,2,67,99,99,99,136,232
0,1005,0,275,1,12,0,438,2378,453,1,0,320,50,0,2,2510,720,720,720,136,232
0,1005,0,254,12,12,0,438,2865,453,1,0,320,50,0,2,3017,1,1,1,136,232
0,1005,0,96,12,12,0,438,756,483,1,0,320,50,0,2,790,17,17,17,136,232
0,1005,0,275,1,12,0,438,1925,67,1,0,320,50,0,3,2016,720,720,720,156,232
0,1005,1,38,1,12,0,438,761,313,1,0,320,50,0,3,794,6,6,6,156,232
1,1005,1,137,12,12,0,438,3715,436,1,0,216,36,0,3,3920,266,266,266,156,232
0,1005,0,275,1,12,0,438,1426,848,1,0,320,50,0,3,1498,720,720,720,156,232
0,1005,0,221,12,12,0,438,3095,638,1,0,320,50,0,3,3259,1,1,1,156,232
1,1005,0,225,4,3,2,438,146,746,1,0,320,50,0,3,155,1499,1499,1499,156,117
1,1005,0,275,1,12,0,438,238,108,1,0,320,50,0,3,258,720,720,720,156,232
0,1005,0,275,1,12,0,438,2834,123,1,0,320,50,0,3,2981,720,720,720,156,232
1,1005,0,225,4,27,2,438,2982,577,1,0,320,50,0,3,3146,1499,1499,1499,156,224
0,1005,0,6,12,12,0,438,1863,205,1,0,320,50,0,4,1946,8,8,8,199,232
0,1005,0,225,4,8,2,653,2824,856,1,0,320,50,0,4,4092,1499,1499,1499,199,219
0,1005,1,15,12,12,0,438,1141,393,1,0,320,50,0,4,1195,79,79,79,199,232
1,1005,0,225,4,20,6,438,3469,764,1,2,320,50,0,4,3658,1499,1499,1499,199,128
0,1002,0,225,4,12,0,523,2913,709,0,0,320,50,0,4,3289,4,4,4,199,232
0,1005,0,225,4,3,2,438,63,271,1,0,320,50,0,4,71,1499,1499,1499,199,28
0,1005,1,175,12,12,0,438,3527,436,1,0,320,50,0,4,3715,99,99,99,199,232
0,1002,0,134,4,12,0,349,3159,37,0,0,320,50,0,4,2260,2,2,2,199,232
0,1005,1,175,12,12,0,438,803,19,1,0,320,50,0,4,837,99,99,99,199,232
1,1005,0,225,4,3,2,438,3364,763,1,2,320,50,0,4,3539,1499,1499,1499,199,137
1,1005,0,275,1,12,0,438,1985,526,1,0,320,50,0,4,2077,720,720,720,199,232
1,1005,0,275,1,12,0,438,878,294,1,0,320,50,0,4,916,720,720,720,199,232
0,1005,0,246,1,12,0,438,967,453,1,0,320,50,0,5,1001,16,16,16,208,232
0,1005,1,83,12,12,0,438,3530,362,1,0,320,50,0,5,3719,24,24,24,208,232
0,1005,0,225,4,3,2,438,819,225,1,2,320,50,0,5,853,1499,1499,1499,208,94
0,1005,0,225,4,3,2,438,2031,3,1,0,320,50,0,5,2127,1499,1499,1499,208,99
0,1005,0,171,12,12,0,438,108,393,1,0,320,50,0,5,115,35,35,35,208,232
0,1005,1,225,12,12,0,438,1216,374,1,0,320,50,0,5,1268,2,2,2,208,232
0,1005,1,15,12,12,0,438,386,17,1,0,320,50,0,5,412,79,79,79,208,232
0,1005,1,111,3,12,0,438,3674,863,1,0,320,50,0,5,3879,1,1,1,208,232
0,1005,0,225,4,3,12,438,1739,531,1,2,320,50,0,5,1827,1499,1499,1499,208,48
0,1005,1,175,12,12,0,438,2513,123,1,0,320,50,0,5,2645,99,99,99,208,232
0,1005,0,225,4,3,12,438,828,418,1,0,320,50,0,5,865,1499,1499,1499,208,148
0,1005,0,225,4,11,2,12,551,377,1,0,320,50,0,5,63,1499,1499,1499,208,98
0,1005,0,275,1,12,0,438,3489,453,1,0,320,50,0,5,3676,720,720,720,208,236
0,1005,0,275,1,12,0,438,3489,453,1,0,320,50,0,18,3676,720,720,720,170,236
0,1005,0,275,1,12,0,438,3489,453,1,0,320,50,8,15,3676,720,720,720,229,236
1,1005,0,225,4,3,2,438,1137,540,1,0,320,50,0,5,1190,1499,1499,1499,208,38
1,1005,0,225,4,11,2,336,2792,293,1,2,320,50,0,5,2162,1499,1499,1499,208,98
0,1005,0,225,4,11,2,438,1447,575,1,0,320,50,0,5,1519,1499,1499,1499,208,98
0,1002,0,225,4,12,0,484,973,570,0,0,320,50,0,5,3012,1499,1499,1499,208,11
0,1010,1,225,4,12,1,616,1808,818,4,3,320,50,0,5,3859,1499,1499,1499,208,42
0,1005,0,225,4,3,6,265,797,123,1,0,320,50,0,6,1699,1499,1499,1499,173,1
0,1005,1,137,12,12,0,438,230,793,1,0,216,36,0,6,248,266,266,266,173,232
0,1005,0,225,4,8,2,483,2458,779,1,0,320,50,0,6,3009,1499,1499,1499,173,219
0,1005,0,225,4,3,2,641,2671,763,1,2,320,50,0,6,4007,1499,1499,1499,173,86
0,1005,1,142,1,12,0,438,3178,754,1,0,320,50,0,7,3347,15,15,15,174,232
0,1005,0,225,4,11,2,438,1405,746,1,0,320,50,0,7,1474,1499,1499,1499,174,98
0,1005,0,225,4,3,12,438,614,639,1,0,320,50,0,7,641,1499,1499,1499,174,148
0,1005,0,41,12,12,0,438,2874,26,1,0,320,50,0,7,3028,37,37,37,174,232
